Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90001,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90001,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90001,1500 - 1999 grams,11,11/10/2025
Birth,2022,Place of Residence,90001,2000 - 2499 grams,32,11/10/2025
Birth,2022,Place of Residence,90001,2500 - 2999 grams,138,11/10/2025
Birth,2022,Place of Residence,90001,3000 - 3499 grams,305,11/10/2025
Birth,2022,Place of Residence,90001,3500 - 3999 grams,162,11/10/2025
Birth,2022,Place of Residence,90001,4000 - 5999 grams,51,11/10/2025
Birth,2022,Place of Residence,90001,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90002,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90002,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90002,1500 - 1999 grams,13,11/10/2025
Birth,2022,Place of Residence,90002,2000 - 2499 grams,40,11/10/2025
Birth,2022,Place of Residence,90002,2500 - 2999 grams,136,11/10/2025
Birth,2022,Place of Residence,90002,3000 - 3499 grams,246,11/10/2025
Birth,2022,Place of Residence,90002,3500 - 3999 grams,172,11/10/2025
Birth,2022,Place of Residence,90002,4000 - 5999 grams,49,11/10/2025
Birth,2022,Place of Residence,90002,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90003,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90003,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90003,1500 - 1999 grams,30,11/10/2025
Birth,2022,Place of Residence,90003,2000 - 2499 grams,55,11/10/2025
Birth,2022,Place of Residence,90003,2500 - 2999 grams,224,11/10/2025
Birth,2022,Place of Residence,90003,3000 - 3499 grams,377,11/10/2025
Birth,2022,Place of Residence,90003,3500 - 3999 grams,256,11/10/2025
Birth,2022,Place of Residence,90003,4000 - 5999 grams,69,11/10/2025
Birth,2022,Place of Residence,90003,Unreliable/Unknown,<11,11/10/2025
Birth,2022,Place of Residence,90004,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90004,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90004,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90004,2000 - 2499 grams,20,11/10/2025
Birth,2022,Place of Residence,90004,2500 - 2999 grams,113,11/10/2025
Birth,2022,Place of Residence,90004,3000 - 3499 grams,242,11/10/2025
Birth,2022,Place of Residence,90004,3500 - 3999 grams,126,11/10/2025
Birth,2022,Place of Residence,90004,4000 - 5999 grams,22,11/10/2025
Birth,2022,Place of Residence,90004,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90005,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90005,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90005,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90005,2000 - 2499 grams,16,11/10/2025
Birth,2022,Place of Residence,90005,2500 - 2999 grams,80,11/10/2025
Birth,2022,Place of Residence,90005,3000 - 3499 grams,128,11/10/2025
Birth,2022,Place of Residence,90005,3500 - 3999 grams,61,11/10/2025
Birth,2022,Place of Residence,90005,4000 - 5999 grams,18,11/10/2025
Birth,2022,Place of Residence,90005,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90006,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90006,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90006,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90006,2000 - 2499 grams,20,11/10/2025
Birth,2022,Place of Residence,90006,2500 - 2999 grams,118,11/10/2025
Birth,2022,Place of Residence,90006,3000 - 3499 grams,206,11/10/2025
Birth,2022,Place of Residence,90006,3500 - 3999 grams,119,11/10/2025
Birth,2022,Place of Residence,90006,4000 - 5999 grams,32,11/10/2025
Birth,2022,Place of Residence,90006,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90007,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90007,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90007,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90007,2000 - 2499 grams,16,11/10/2025
Birth,2022,Place of Residence,90007,2500 - 2999 grams,57,11/10/2025
Birth,2022,Place of Residence,90007,3000 - 3499 grams,86,11/10/2025
Birth,2022,Place of Residence,90007,3500 - 3999 grams,53,11/10/2025
Birth,2022,Place of Residence,90007,4000 - 5999 grams,17,11/10/2025
Birth,2022,Place of Residence,90007,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90008,500 - 999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90008,1000 - 1499 grams,<11,11/10/2025
Birth,2022,Place of Residence,90008,1500 - 1999 grams,<11,11/10/2025
Birth,2022,Place of Residence,90008,2000 - 2499 grams,15,11/10/2025
Birth,2022,Place of Residence,90008,2500 - 2999 grams,71,11/10/2025
Birth,2022,Place of Residence,90008,3000 - 3499 grams,109,11/10/2025
Birth,2022,Place of Residence,90008,3500 - 3999 grams,79,11/10/2025
Birth,2022,Place of Residence,90008,4000 - 5999 grams,24,11/10/2025
Birth,2022,Place of Residence,90008,Unreliable/Unknown,0,11/10/2025
Birth,2022,Place of Residence,90009,500 - 999 grams,0,11/10/2025
Birth,2022,Place of Residence,90009,1000 - 1499 grams,0,11/10/2025
Birth,2022,Place of Residence,90009,1500 - 1999 grams,0,11/10/2025
Birth,2022,Place of Residence,90009,2000 - 2499 grams,0,11/10/2025
Birth,2022,Place of Residence,90009,2500 - 2999 grams,0,11/10/2025
Birth,2022,Place of Residence,90009,3000 - 3499 grams,<11,11/10/2025
